Acronym,Meaning
CPG ,  Clinical Practice Guideline
CPI ,"  CERDEC Command, Power and Integration"
CPIM ,  Certification on Production and Inventory Management
CPIR , Computationally
CPON ,  Certified Pediatric Oncology Nurse
CPPCC ,  Chinese People's Political Consultative Conference
CPR ,  Canadian Pacific Railway
CPR ,  Cardiopulmonary resuscitation
CPSM ,  Continuous Phase Shift Modulation
CPSU ,  Communist Party of the Soviet Union
CPT ,  Contingency Planning Team
CPU ,  Central Processing Unit 
CPV ,  Cape Verde (ISO 3166 trigram)
CPX ,  Command Post eXercise
CQ ,  Carrier Qualification 
CQD ,"  Close Quarters Drill (Morse distress code preceding SOS: CQ ""calling all stations"", D ""Distress""; often incorrectly interpreted as ""Come Quick, Distress"")"
cr ,  Cree language (ISO 639
Cr ,  Chromium
CR, Coral Sea Islands (FIPS 10
CRAM ,  Combined Radiometric Correction Model
CRC," Central RTI Component,Chemical Rubber Company,Christian Reformed Church,Control and Reporting Centre,Cyclic Redundancy Check, Costa Rican colón (ISO 4217 currency code),Costa Rica (IOC and FIFA trigram, but not ISO 3166)"
CRD ,  Capstone Requirements Document
cre ,  Cree language (ISO 639
CREB ,  Cyclic AMP
CREEP ,  Committee for the Re
CRI," China Radio International, Costa Rica (ISO 3166 trigram)"
CRIPL ,  Consolidated Remain
CRM ,  Cardiac Rhythm Management 
CRO ,"  Croatia (IOC and FIFA trigram, but not ISO 3166)"
CRP, Committee for the Re
CRT," Cardiac Resynchronization Therapy,Cathode Ray Tube,Chinese Remainder Theorem"
CRTC ,  Canadian Radio
cs ,  Czech language (ISO 639
Cs ,  Caesium
CS," Combat Support,Computer Scientist, Costa Rica (FIPS 10"
CSA," Canadian Soccer Association,Canadian Space Agency,Canadian Standards Association,Child Support Agency,Command Staff Advisor,Community"
CSAR ,"  Combat Search and Rescue (""seessar"")"
CSC," Closed Spacelike Curve (relativity),Compact system camera,Computer Sciences Corporation,Computer Security Centre,CSCC Canadian Society of Clinical Chemists"
CSEAL ," (i/a) Combat Systems Engineering and Analysis Laboratory (""see"
CSERIAC ,  (U.S. DoD) Crew Systems Ergonomics Information Analysis Center
CSG ,  Corps Support Group
CSI , see entry
CSICOP ,  Committee for the Scientific Investigation of Claims of the Paranormal (became the Committee for Skeptical Inquiry in 2006)
CSIP ,  Commercial Stable Image Platform (AMD)
CSIS," Canadian Security Intelligence Service (""seessiss""), (U.S.) Center for Strategic & International Studies"
CSK ,  Czechoslovakia (ISO 3166 trigram; obsolete since 1993)
CSL ,  U.K. Central Science Laboratory
CSPI ,  Center for Science in the Public Interest
CSR ,  Control Supply Rate
CSR ,  Corporate Social Responsibility [1]
CSRC ,  Conflict Studies Research Centre
CSRF ,  Cross
CSS," Cascading Style Sheets,Catalina Sky Survey,Central Security Service,Combat Service Support,Confederate States Ship,Content"
CSSCS ,  Combat Service Support Control System
CST ,  Central Standard Time (UTC?6 hours)
CT ,  Computed tomography (medical scan also known as a CAT scan) 
CTA," Central African Republic (FIFA trigram, but not ISO 3166 or IOC), Chicago Transit Authority, Comando"
CTBT ,  Comprehensive [Nuclear] Test Ban Treaty
CTC ,  Closed Timelike Curve (relativity) 
CTDB ,  Compact Terrain Data Base (file format)
CTE," Canton and Enderbury Islands (ISO 3166 trigram; obsolete 1984), Chronic traumatic encephalopathy"
CTGF ,  connective tissue growth factor
CTI ,  Co
CTIL ,  Critical Tracked Items List
CTIS ,  Central Tire Inflation System
CTMS ,  Clinical Trial Management System
CTO ,  Chief Technical Officer 
CTS ,  Clear
CTSS ,  Compatible Time
CTU ,  Counter Terrorist Unit (fictional branch of the Central Intelligence Agency in the television action series 24)
CTVT ,  Canine Transmissible Venereal Tumour
cu ,  Old Church Slavonic language (ISO 639
Cu ,  Copper (Latin Cuprum)
CU ,  Carrie Underwood 
CUB ,  Cuba (ISO 3166 trigram)
CUCV ,  Commercial Utility Cargo Vehicle
CUNY ,"  City University of New York (""CUE"
CUP ,  Cuban peso (ISO 4217 currency code)
CUPE ,"  Canadian Union of Public Employees (""CUE"
CUPS ,  Common Unix Printing System
CUPW ,  Canadian Union of Postal Workers
CUREA ,  Consortium for Undergraduate Research and Education in Astronomy
CuW ,  Copper
CUW ,  Curaçao (ISO 3166 trigram)
cv ,  Chuvash language (ISO 639
CV ," many, including curriculum vitae (résumé); see entry"
CVCC," Combat Vehicle Command and Control,Compound Vortex Controlled Combustion (1970s Honda automobile engine technology)"
CVE ,  Cape Verde escudo (ISO 4217 currency code)
CVI ,  Combat Vehicle Identification
CVLL ,  Crypto Variable Logic Label
CVR ,  Cockpit Voice Recorder 
CVS ,  Concurrent Versions System
CVSD ,  Continuous Variable Slope Delta (modulation)
CVT ,  Continuously Variable Transmission
CW ,  Continuous Wave 
CWC ,  Chemical Weapons Convention
CWS ,  Canadian Wildlife Service
CWRU ,  Case Western Reserve University
CX ,  Christmas Island (ISO 3166 digram) 
CXR ,  Christmas Island (ISO 3166 trigram)
cy ,  Welsh language (ISO 639
CY ,  Calendar year 
cym ,  Welsh language (ISO 639
CYM ,  Cayman Islands (ISO 3166 trigram)
CYP ,  Cyprus (ISO 3166 trigram) 
CZ ,  Combat Zone 
CZE ,  Czech Republic (ISO 3166 trigram)
CZK ,  Czech koruna (ISO 4217 currency code)
CZF ,  (Christian Zombie Fan)
CZMA ,  (US) Coastal Zone Management Act
d ,  Deci
D ,  Deuterium
da ,  Danish language (ISO 639
DA ,  Denmark (FIPS 10
DAB , Digital Audio Broadcasting
DACT ,  Data Automated Communications Terminal 
DADVSI ,"  Loi sur le droit d’auteur et les droits voisins dans la société de l’information (French, ""Law on copyrights and related rights in the information society"")"
DAES ,  Defence Acquisition Executive Summary 
DAF ,"  Dissolved Air Flotation, a technique used in water treatment"
DAFIF ,  Digital Aeronautical Flight Information File
DAK ,  Disney's Animal Kingdom
dan ,  Danish language (ISO 639
DAO ,  Division Ammunition Officer
DAQ ,  Data acquisition 
DARE ,  Drug Abuse Resistance Education
DARO , (i/a) (U.S.) Defense Airborne Reconnaissance Office
DARPA ,  U.S. Defense Advanced Research Projects Agency
DART ,  Disaster Assistance Response Team 
DAS ,  Defensive Aids Suite
DASD ,  (U.S.) Deputy Assistant Secretary of Defense
DASL ,  Datapoint's Advanced Systems Language
DAU ,  (U.S.) Defense Acquisition University
DAWN ,  (U.S.) Drug Abuse Warning Network
dB ,  Decibel
Db ,  Dubnium
DB ,  Database 
DBA ,  De Bellis Antiquitatis (miniature wargaming rules)
DBBL ,  (U.S. Army Simulation Center) Dismounted Battlespace Battle Laboratory
DBCS ,  Double Byte Character Set
DBDO ,  Desert BDO
DBE ,  Dame Commander of the Order of the British Empire
DBF ,  Detection By Fire (weapon launch signature)
DBM ,  De Bellis Multitudinis (miniature wargaming rules) 
DBR ,  De Bellis Renationis (miniature wargaming rules)
DBRA ,  Davis
DBS ,  Direct Broadcast Services (television)
DC ,  da capo 
DCA ,  Defensive Counter Air 
DCAA ,  (U.S.) Defense Contract Audit Agency
DCAS ,  Devon and Cornwall Archery Society
DCC ,  Dallas Christian College
DCC ,  Digital Command Control (model railroading) 
DCCP ,  Datagram Congestion Control Protocol
DCD ,  [Organ] Donation after Cardiac Death
DCE ,  Data Communication Equipment
DCFC ,  Death Cab for Cutie
DCI ,"  Detection, Classification and Identification "
DCIM ,  Digital Camera Images
DCIMS ,  Dental Classification Information Management System 
DCL , Disney Cruise Line
DCN , Deacon
DCOM , Disney Channel Original Movie
DCOP ,  Desktop Communication Protocol
DCSOPS ,  Deputy Chief of Staff for Operations and plans
DCW ,  Digital Chart of the World
DCYSC ,  Discovery Channel Young Scientist Challenge
DD ," many, including due diligence and dear daughter (increasingly prevalent on social mailing lists, blogs, and bulletin boards); see entry"
DDA," Digital Differential Analyzer (graphics algorithm),Digital Differential Analyzer,Deputy District Attorney"
DDD," Data Display Debugger,Digital Digital Digital (CD mastering)"
DDL ,  Digital Data Link
DDN ,  U.S. Defense Data Network
DDoS ,  Distributed Denial of Service
DDP," Danish Design Prize,Deutsche Demokratische Partei (German, ""German Democratic Party"" "
DDR," Dance Dance Revolution,Deutsche Demokratische Republik (German, ""German Democratic Republic"" (GDR), East Germany),Double Data Rate, East Germany (ISO 3166 trigram, obsolete since 1990),DDR&E "
DDS ,  Doctor of Dental Surgery
DDT, Dichloro
de ,  German language (ISO 639
DE ,  Delaware (postal symbol) 
DEA ,  Drug Enforcement Administration
DEA ,  Drug Enforcement Agency
DEC , (a/i) Department of Environmental Conservation 
DeCA ,  (U.S.) Defense Commissary Agency
DECSIM ,  Model DEComposition and SIMulation algorithm 
DECT ,  Digital European Cordless Telephone
DEFCON ,  Defence readiness condition
DEFRA ,"  (UK) Department for Environment, Food and Rural Affairs"
DELT ,  Dual Ended Line Test (ing)
DEM ,  Data Exchange Mechanism 
DEN ,"  Denmark (IOC and FIFA trigram, but not ISO 3166)"
DEPSECDEF ,  (U.S.) Deputy Secretary of Defense
DERA ,  British Defence Evaluation and Research Agency (1995
DES ,  Deep Ecliptic Survey
deu ,  German language (ISO 639
DEU ,  Germany (ISO 3166 trigram)
DF," Direct Fire,Direction Finding,Distrito Federal (Spanish and Portuguese for ""federal district"")"
DFAD ,"  Digital Feature Analysis Data (""dee"
DFAS ,  (U.S.) Defense Finance and Accounting Service
DFB ,  Deutscher Fußball
DFCB ,  Data Format Control Book
DfID ,  UK Department for International Development
DFL, Democratic
DFM ,  Dynamic Flowgraph Methodology
DFM , (ii) Discrete Field Model see Superluminal motion
DFSP ,  Dermatofibrosarcoma protuberans
DfT ,  UK Department for Transport
DFTBA ,  Don't Forget To Be Awesome
DG ,"  Dei gratia (Latin, ""by the grace of God"") "
DGA ,"  Direction générale des armées (French ""Armed Forces General Directorate"")"
DGPS ,  Differential GPS
DGZ ,  Desired Ground Zero
DH ,"  dear husband (increasingly prevalent on social mailing lists, blogs, and bulletin boards) "
DHA ,  DocosaHexaenoic Acid
DHHS ,  (U.S.) Department of Health and Human Services
DHL ,"  Dalsey, Hillblom, and Lynn (courier service)"
DHRA ,  (U.S.) DoD Human Resources Activity
DHS ,  U.S. Department of Homeland Security
DHSS ,  UK Department of Health and Social Security
DHTFYSS ,  U.S. Don't Have Time For You Silly S****
DHY ,  Dahomey (ISO 3166 trigram; became BEN for Benin in 1977)
DIA ,  U.S. Defense Intelligence Agency
DIAC ,  Department of Immigration and Citizenship (Australia) [1]
DiC , Design Island Centre (computing usually used in a teaching situation)
DICASS ,  DIrectional Command Activated Sonobuoy System
DILLIGAD ,"  Do I Look Like I Give A Damn? (military shorthand, slightly less offensive than the following)"
DILLIGAF ,  Do I Look Like I Give A Fuck? (military shorthand)
DIF ,  Data Interchange Format
DIFAR ,  DIrectional Frequency Analysis and Recording
DIME ,  Dense Inert Metal Explosive
DIMM ,  Dual In
DIN," Deutsches Institut für Normung (German, ""German Institute for Standardization""),Drug Identification Number (Canadian drug marketing requirement)"
DINA,"(p/a) Diesel Nacional (Spanish, ""National Diesel""—Mexican bus and truck manufacturer now known as DINA),Dirección de Inteligencia Nacional (Spanish, ""National Intelligence Directorate""—former secret police of Chile)"
DINKY ,"  Double Income, No Kids Yet"
DIP ,  Dual In
DIPS ,  Defense independent pitching statistics
DIR ,  Defence Industrial Research
DIS," Defence Intelligence Staff,(U.S.) Defense Investigative Service,Distributed Interactive Simulation,Draft International Standard (ISO)"
DISA," U.S. Defense Information Systems Agency,Distinguished Individual Service Award"
DISCOM ,  Division Support Command
DISE ,  Deployable Intelligence Support Element
DISSTAF ,  DIS Search and Target Acquisition Fidelity experiment
DITY , (i/a) Do
div ,  Dhivehi language (ISO 639
DIVAD ,  Division Air Defence
DIY ,  Do It Yourself
DJ ,  Disc Jockey 
DJD ,  Degenerative Joint Disease 
DJF ,  Djibouti franc (ISO 4217 currency code)
DJI ,  Djibouti (ISO 3166 trigram)
DJS ,"  Director, Joint Staff"
DK ,  Denmark (ISO 3166 digram)
DKK ,  Danish krone (ISO 4217 currency code)
DL , Dexter's Laboratory
DLA ,  U.S. Defense Logistics Agency 
DLIC ,  Detachment Left
DLIR ,  Depot
DLL ,  Dynamic Link Library
DLPMC ,  DorsoLateral PreMotor Cortex
DLR ,  Deutsches Zentrum für Luft
DLRP ,  Data Link Reference Point
DLS ,  Deep Lens Survey
DLSA ,  (U.S.) Defense Legal Services Agency
DLSc ,  Diploma in Library Science
DLSC ,  U.S. Defense Logistics Services Center 
DLTBGYD , Don't let the bastards grind you down
DM," Dominica (ISO 3166 digram), Dungeon Master (role"
DMA," Designated market area (primarily a U.S. term),U.S. Defense Mapping Agency (became NIMA, then NGA),Direct Memory Access (computing), Dominica (ISO 3166 trigram)"
DMC ,  (U.S.) Defense Management Council
DMCA , Digital Millennium Copyright Act
DMD," dentariae medicinae doctor (Latin, ""doctor of dental medicine""),Digital Micromirror Device,Digital Multilayer Disk"
DMI ,  Desktop Management Interface (computing)
DMM , Digital Multimeter
DMOC ,  Distributed Mission Operations Centre
DMOS ," (i/a) Double Diffused MOS transistor (""dee"
DMPA ,  (U.S.) Defense Medical Programs Activity
DMPFC ,  DorsoMedial PreFrontal Cortex
DMPK ,  Drug Metabolism and Pharmacokinetics
DMRB ,  Design Manual for Roads and Bridges
DMS ,  U.S. Defense Message System
DMSO," Dimethyl sulfoxide, U.S. Defense Modeling & Simulation Office (""dim"
DMSP ,  U.S. Defense Meteorological Satellite Program
DMT ,  Dimethyltryptamine
DMU ,"  Diesel Multiple Unit, a method of connecting self"
DMV ,  Department of Motor Vehicles
DMZ ,  DeMilitarized Zone
DN ,  Deacon
DNA ,  U.S. Defense Nuclear Agency 
DNAW ,  Day Night All Weather
DND ,  Department of National Defence (Canada) 
DNDi ,  Drugs for Neglected Diseases initiative
DNDO ,  U.S. Domestic Nuclear Detection Office
DNM ,  Defence Nuclear Material
DNK ,  Denmark (ISO 3166 trigram)
DNR ,  Do Not Resuscitate
DNS ,  Domain Name System
DO ,  Dominica (FIPS 10
DOA ,  Dead On Arrival 
DOB ,  Date Of Birth
DOD ,  U.S. Department of Defense
DODAF ,  U.S. Department of Defense Architectural Framework
DoDD ,  U.S. Department of Defense Directive
DoDEA ,  (U.S.) Department of Defense Education Activity
DOE , (i/a) U.S. Department of Energy
DOHC ,  Dual
DOI ,  Digital Object Identifier 
DOM ,"  Deo optimo maximo (Latin, ""to God, the best and greatest"") "
DOMS ,  (U.S.) Director of Military Support
DOP ,  Dominican peso (ISO 4217 currency code)
DORA ,  Defence of the Realm Act
DOS ,"  Denial of Service (DoS, cf. DDoS) "
DOT ,  Department of Transportation (U.S. federal or state) 
DOTA , short
DotD ,  Deal of the Day (marketing gimmick)
DOTMLPF ,"  Doctrine, Organization, Training, Materiel, Leadership, Personnel, and Facilities (mnemonic)"
DOW ,  Died of Wounds
DP ,  Division de production (Algerian petroleum company)
DP ,  Decision Point 
DPA ,  UK Defence Procurement Agency
DPCO ,  Double
DPDT ,  Double
DPICM ,  Dual
DPKO ,  UN Department for Peacekeeping Operations
DPMO ,  (U.S.) Defense Prisoner of War/Missing Personnel Office
DPPDB ,  Digital Point Positioning Database
DPRE ,"  Displaced Person or Refugee (plural Displaced Persons and Refugees) (originally Displaced Persons, Refugees, Evacuees)"
DPRK ,  Democratic People's Republic of Korea
DPST ,  Double
DQ ,  Dairy Queen 
DR ,  Dead Reckoning 
DRA ,"  Defence Research Agency (UK, 1991"
DRAGN ,"  Double Radio source Active Galactic Nucleus (""dragon"")"
DRAM ,"  Dynamic Random Access Memory (""dee"
DRC ,  Democratic Republic of the Congo
DRDC ,  Defence Research & Development Canada
DREA , (i/a) Defence Research Establishment Atlantic (obsolete 2002)
DRES , (i/a) Defence Research Establishment Suffield (obsolete 2002)
DRET , (i/a) Defence Research Establishment Toronto (obsolete 2002)
DREV , (i/a) Defence Research Establishment Valcartier (obsolete 2002)
DRI ,"  Detection, Recognition, Identification "
DRIC , (i/a) (U.S.) Defense Research Information Center
DRL ,  Daytime Running Lights 
DRM ,  Digital Rights Management
DRMS ,  (U.S.) Defense Revitalization and Marketing Service
DRPR ,  Drawing Practices
DRT ,  Document Related Technologies
Ds ,  Darmstadtium
DS," Dear son (increasingly prevalent on social mailing lists, blogs, and bulletin boards),Defence Scientist,Direct Support, Dust Storm (METAR Code)"
DSA," (U.S.) Defense Support Activities,Division Support Area"
DSAA," (U.S.) Defense Security Assistance Agency,Driving Schools Association of the Americas,DECT Standard Authentication Algorithm"
DSAS ,  Disney Sing Along Songs
DSB ,  (U.S.) Defense Science Board
DSC," Differential Scanning Calorimeter,Digital Selective Calling,Digital Still Camera,Distinguished Service Cross,Doctor of Surgical Chiropody (obsolete),Document structure convention (PostScript programming),Dynamic Stability Control"
DSCS ,  U.S. Defense Satellite Communications System
DSCSOC ,  DSCS Operations Center
DSD ,"  Defence Studies Department (King's College, London)"
DSDS ,"  Deutschland sucht den Superstar (German, ""Germany Seeks the Superstar""), the German version of the Idol series"
DSE ,  Dry Sheep Equivalent
DSG , Direct
DSID ,  Dismounted Soldier Identification System
DSL ,  Digital Subscriber Line
DSLR ,  Digital single
DSM ,  Diagnostic and Statistical Manual of Mental Disorders
DSN ,  Deep Space Network
DSO ,  Distinguished Service Order (British military decoration)
dsp ,"  decessit sine prole (Latin, ""died without issue"") "
dspl ,"  decessit sine prole legitima (Latin, ""died without legitimate issue"")"
dspm ,"  decessit sine prole mascula [superstite] (Latin, ""died without surviving male issue"" )"
dspml ,"  decessit sine prole mascula legitima (Latin, ""died without legitimate male issue"")"
dspms ,"  decessit sine prole mascula superstite (Latin, ""died without surviving male issue"")"
dsps ,"  Decessit sine prole superstite (Latin, ""died without surviving issue"")"
DSP," Defense Standardization Program,Defense Support Program,Digital Signal Processing"
DSPL ,  Design Specialists and Plans Language
DSR ,  Deformed Special Relativity
DSRV," Deaf Sports Recreation Victoria,Deep Submergence Rescue Vehicle"
DSS," Digitized Sky Survey,Discarding"
DST ,  Daylight saving time
DSTL ,  British Defence Science and Technology Laboratory
dsvp ," d.s.v.p. decessit sine vitae patria (Latin, ""died within fathers lifetime"")"
DSWA ,  (U.S.) Defense Special Weapons Agency
DTA ,  Dental Technologists Association
DTD ,  Digital Terrain Data
DTE ,  Data Terminal Equipment 
DTED ,"  Digital Terrain Elevation Data (""dee"
DTG ,  Date
DTH ,  Direct To Home (television)
DTI ,  UK Department of Trade and Industry
DTIC ,  (U.S.) Defense Technical Information Center
DTL ,  Diode
DTM," Deutsche Tourenwagen Masters (German, ""German Touring Car Masters"" "
DTMF ,  Dual
DTLOMS ,"  Doctrine, Training, Leader development, Organization, Materiel, and Soldier (mnemonic)"
DTO ,  Disruptive Technology Office (was ARDA)
DTOMLS ,"  Doctrine, Training, Organization, Materiel, Leader and Soldier development (mnemonic)"
DTR ,  Determine The Relationship
DTRA ,"  Defense Threat Reduction Agency (""deet"
DTSA ,  (U.S.) Defense Technology Security Administration
DU," Depleted Uranium, Dust (METAR Code)"
DUI," Data Use Identifier,Data Use Institute,Davis Unified Ignition,Diving Unlimited International,Documento Único de Identidad,Documento Unico de Importación,Driving Under the Influence,Duke University Improv"
DUMBO ,  Down Under the Manhattan Bridge Overpass (Brooklyn neighborhood)
DUSD ,  (U.S.) Deputy Under
dv ,  Dhivehi language (ISO 639
DV," Daily Value (FDA food guide),Deo volente (Latin, ""God willing"")"
DVD ,  Digital Versatile Disk (was Digital Video Disk)
DVLC ,  UK Driver and Vehicle Licencing Centre
dvm ,"  decessit vita matris (Latin, ""died in the lifetime of the mother"")"
DVM ,  Doctor of Veterinary Medicine
DVO ,  Direct View Optics
DVOM , Digital Volt
DVP , various meanings (disambiguation page)
dvp ,"  decessit vita patris (Latin, ""died in the lifetime of the father"")"
dvu ,"  decessit vita uxoris (Latin, ""died in the lifetime of spouse"")"
DW ,  Drum Workshop
DWG ,  Divisional Wargame (military simulation)
DWI ,  Dance With Intensity 
DWM ,  Doctor Who Magazine
DWIM ,  Do What I Mean
DWTS ,  Dancing with the Stars
DWW ,  Down with Webster
DX, Dexterity (role
DXA ,  Dual
DXM ,  DeXtroMethorphan
Dy ,  Dysprosium
DY ,  Dahomey (ISO 3166 digram; obsolete since 1977)
dz ,  Dzongkha language (ISO 639
DZ ,  Algeria (ISO 3166 digram) 
DZA ,  Algeria (ISO 3166 trigram)
DZD ,  Algerian dinar (ISO 4217 currency code)
dzo ,  Dzongkha language (ISO 639
E ,  East
EA ,  Electronic Attack 
EABU ,  Explain Acronyms Before Use
EAC ,  Echelons Above Corps
EAFUS ,"  ""Everything"" Added to Food in the United States (FDA list)"
EAPC ,  Euro
EASA ,  European Aviation Safety Agency
EAST ,  Experimental Advanced Superconducting Tokamak
EBCDIC ," (a/i) Extended Binary Coded Decimal Interchange Code (pronounced ""eb"
EBD ,  Electronic Brake Distribution
EBE ,  Extraterrestrial Biological Entity
EBO , (i/a) Effects Based Operations 
EBSA ,  Employee Benefits Security Administration
EBW ,  Electron Beam Welding
EBW ,  Exploding BridgeWire
EC, Ecuador (ISO 3166 digram; FIPS 10
ECB," England (and Wales) Cricket Board,European Central Bank"
ECBR ,  European Coalition for Biomedical Research
ECASS ,  European Centre for Analysis in the Social Sciences [1]
ECCM ,  Electronic Counter
ECFS ,  Electronic Case Filing System
ECG ,  Electrocardiogram
ECHO," Each Community Helps Others (EPA programme),Educational Concerns for Hunger Organization,European Commission Host Organization,European Commission Humanitarian aid Office, Exchange Clearing House,Expanded Characteristic Option, Explanatory Coherence by Harmony Optimization"
ECHR ,  European Convention on Human Rights
ECJ ,  European Court of Justice
ECL ,  Emitter Coupled Logic (electronics)
ECM, Electronic Counter
ECommHR ,  European Commission on Human Rights
ECS," Emergency Contact System,Enhanced Chip Set (computing),EOSDIS Core System,Extended Chip Set (computing)"
ECSC ,  European Coal and Steel Community (distant ancestor of the EU)
ECT ,  ElectroConvulsive Therapy
ECtHR ,  European Court of Human Rights
ECU," Ecuador (ISO 3166 trigram), European Currency Unit (ancestor of the euro)"
ECW," Eastern Championship Wrestling/Extreme Championship Wrestling,ED[edit]"
EDA ,  European Defence Agency
EDAC ,  Error Detection And Correction
EDCS ,  Environmental Data Coding Specification
EDD," Earliest due date,Electron"
EDECSIM ,  Extended Directed Energy Combat Simulation
EDGAR ,"  Electronic Data Gathering, Analysis, and Retrieval (U.S. Securities and Exchange Commission filings database)"
EDH ,  Eastman Dental Hospital
EDS," Electronic Data Systems,Electronic Differential System"
EDSA ,  Epifanio de los Santos Avenue (a major thoroughfare in Manila with great significance to post
EDT ,  Eastern Daylight Saving Time (UTC?4 hours)
EDTA," Electric Drive Transportation Association, EthyleneDiamineTetraAcetic acid,EE[edit]"
ee ,  Ewe language (ISO 639
EE," Estonia (ISO 3166 digram; from the country's native name of Eesti), Electrical engineering,Electrical Engineer,E&E "
EEC ,  European Economic Community (predecessor of the EU)
EEG ,  ElectroEncephaloGram
EEK ,  Estonian kroon (ISO 4217 currency code)
EENT ,  End Evening Nautical Twilight
EEO ,  Equal Employment Opportunity
EEOC ,  (U.S.) Equal Employment Opportunity Commission
EEZ ,  Economic Exclusion Zone or Exclusive Economic Zone
EF, Electro
EFF ,  Electronic Frontier Foundation
EFL , English as a Foreign Language
EFM ,  Enterprise Feedback Management
EFOA ,  European Fuel Oxygenates Association
EFSA ,  European Food Safety Authority
EFT ,  Electronic Fund Transfer
EFTA," European Free Trade Area, European Free Trade Association"
EFV ,  Expeditionary Fighting Vehicle
EG ,  Egypt (ISO 3166 digram; FIPS 10
EGBUS ,"  External Genitalia, Bartholin's glands, Urethra & Skene's glands"
EGCG ,  EpiGalloCatechin
EGIS ,  Erieye Ground Interface Segment
EGP ,  Egyptian pound (ISO 4217 currency code)
EGRET ,  Energetic Gamma
EGY ,  Egypt (ISO 3166 trigram)
EH ,  Exahenry 
EHA," Education for All Handicapped Children Act (U.S. federal legislation; since superseded by the Individuals with Disabilities Education Act), Emotional Health Anonymous"
EHF ,  Extremely High Frequency
EHR ,  Equipment History Record
Ei ,  Exbi
EI ,  Ireland (FIPS 10
EIA ,  Environmental Impact Assessment
EIAH , Environnements Informatiques pour l'Apprentissage Humain
EIAH , Encyclopedia of Iranian Architectural History
EIC , East India Company
EICS , East India Company's Service
eID , electronic ID
EIRP ,  Effective Isotropic Radiated Power
EIS ,  Environmental Impact Statement
EJ ,  Exajoule
EK ,  Equatorial Guinea (FIPS 10
EKG ,  Electrocardiogram (from German Elektrokardiogramm)
EKMS ,  Electronic Key Management System
el ,  Greek language (ISO 639
EL ,  Exalitre
ELF,"(a/i) Earth Liberation Front,Endangered Language Fund,Eritrean Liberation Front,Executable and Linkable Format,Extremely Low Frequency"
ELINT ,  Electronic Intelligence
ell ,  Greek language (ISO 639
ELL ,  English Language Learner
ELM ,  Edge
ELO ,  Electric Light Orchestra
ELP," Emerson, Lake & Palmer,European Left Party"
ELSS ,  Emergency Life Support Stores
ELT ,  Emergency Locator Transmitter
Em ,  Exametre
EM ,  ElectroMagnetism/ElectroMagnetic
EMA , (i/a) European Medicines Agency
Embraer ,"  Empresa Brasileira de Aeronáutica (Portuguese, ""Brazilian Aeronautics Company"")"
EMC," Electric Membership Corporation,Electromagnetic Compatibility,Electro"
EMCON ,  (Electromagnetic) Emissions Control
EMD, General Motors Electro
EMDG ,  Euro
EMDR ,  Eye Movement Desensitisation and Reprocessing
EMEA ,"  Europe, Middle East and Africa"
EMF," Electromotive force,Epsom Mad Funkers (1990s"
EMG ,  ElectroMyoGraph
EMO ,  Emergency Measures Organisation
EMP ,  ElectroMagnetic Pulse
EMS ,  Emergency Medical Services
EMT ,  Emergency Medical Technician
EMU ,  Electric Multiple Unit 
en ,  English language (ISO 639
EN," Corps of Engineers, Estonia (FIPS 10"
ENCODE ,  Encyclopedia of DNA Elements (human genome data project)
ENE ,  East North
eng ,  English language (ISO 639
ENG ,  England (FIFA trigram; not eligible for an ISO 3166 or IOC trigram)
ENSATT ,"  École nationale supérieure des arts et techniques de théâtre (French, ""Higher National School of Theatrical Arts and Techniques"")"
ENT ,"  Ear, Nose and Throat"
ENTEC ,  Euro NATO Training Engineer Centre
ENVL ,  Envelope
ENY ,  Enemy
eo ,  Esperanto language (ISO 639
EO, Electro
EOD ,  Explosive Ordnance Disposal
EOG ,  ElectroOculoGraphy
EOS," Earth Observation Satellite,(a/i) Electro"
EOSAT ,  Earth Observation Satellite
EOSDIS , (a/i) Earth Observation Satellite Data and Information System
EOTS, Electro
EOM ,  End of Message
EP ,  European Parliament
EP ,  Extended play
EPA," EicosaPentaenoic Acid, Environmental Protection Agency"
EPCOT ,  Experimental Prototype Community Of Tomorrow
EPCR," Endothelial protein C receptor,European Professional Club Rugby"
EPFL ,"  École polytechnique fédérale de Lausanne (French, ""Lausanne Federal Institute of Technology"")"
EPGS ,  EOS Polar Ground Sites
EPIRB , (a/i) Emergency Position Indicating Radio Beacon
EPL ,  English Premier League
EPLRS ,"  Enhanced Position Location Reporting System (""ee"
epo ,  Esperanto language (ISO 639
EPO," Ellinikí Podosferikí Omospondía (Greek ???????? ???????????? ??????????, translated as ""Hellenic Football Federation""),European Patent Organisation or its main organ, the European Patent Office, Erythropoietin"
EPOS ,  Electronic Point Of Sale
EPPA ,  Employee Polygraph Protection Act
EPR ,  European Pressurised [Nuclear] Reactor
EPW," Earth Penetrator Weapon/Warhead,Economic and Political Weekly (Indian publication),Enemy Prisoner of War,EQ[edit]"
EQ ,  Emotional Quotient
EQG ,"  Equatorial Guinea (FIFA trigram, but not IOC or ISO 3166)"
Er ,  Erbium
ER," Emergency Room, Eritrea (ISO 3166 digram; FIPS 10"
ERA," Earned run average,Engineering Research Associates,Equal Rights Amendment,English Racing Automobiles,European Railway Agency"
ERCIM , (a/i) European Research Consortium for Informatics and Mathematics
ERI ,  Eritrea (ISO 3166 trigram)
